"","cd","res","wte","f38_central","f38_10","f38_90","f38_PRWIN","prob_win","10","50","90"
"52",7,0.4747,4,0.513785714285714,0.460314285714286,0.567585714285714,0.632542857142857,0.758,0.478211923560916,0.525308521038202,0.577082947939814
"51",7,0.4747,5,0.512142857142857,0.4584,0.5657,0.614457142857143,0.73,0.474901738609757,0.525317818238022,0.573739676247269
"54",7,0.4747,6,0.5204,0.464871428571429,0.576314285714286,0.681557142857143,0.826,0.48597145533477,0.533278289274073,0.586872791584969
"62",8,0.747024717729631,0,0.796882150607479,0.726140037496863,0.867639026262567,1,1,0.606628539351721,0.661646309886305,0.723791973448689
"60",8,0.747024717729631,1,0.795022070003986,0.723689455114484,0.866325159804544,0.999971428571429,1,0.600795707836548,0.655012681257478,0.714358301049389
"59",8,0.747024717729631,2,0.784732576506887,0.712248483148555,0.85702475678708,0.999942857142857,0.998,0.590234600841751,0.648413748282849,0.706782659059155
"57",8,0.747024717729631,3,0.789884704527672,0.717769674781145,0.861763533562645,0.999971428571429,1,0.598827693226168,0.657724786048758,0.718758440451806
"61",8,0.747024717729631,4,0.799967522402161,0.72836918171216,0.871329662380608,0.999971428571429,1,0.587197804694604,0.641800410034963,0.703466623658792
"58",8,0.747024717729631,5,0.785714285714286,0.712720722848875,0.858574971948267,0.999971428571429,1,0.585542641811914,0.644621286246038,0.699524743852635
"63",8,0.747024717729631,6,0.763814050989829,0.689351776672227,0.838232037674014,0.999828571428571,1,0.599090350247674,0.656334963892861,0.720337259140133
"66",9,NA,0,NA,NA,NA,NA,0,0.271577894520974,0.310332668977895,0.350049629245965
"65",9,NA,1,NA,NA,NA,NA,0,0.262234727110106,0.301025138761085,0.341404829394819
"64",9,NA,2,NA,NA,NA,NA,0,0.257169981186732,0.294614072119032,0.333200026664136
"69",9,NA,3,NA,NA,NA,NA,0,0.251536536030956,0.293798738486693,0.336375934334063
"68",9,NA,4,NA,NA,NA,NA,0,0.247579805653827,0.287972866429911,0.328328816980002
"67",9,NA,5,NA,NA,NA,NA,0,0.244748821839711,0.283119818941997,0.328084421100625
"70",9,NA,6,NA,NA,NA,NA,0,0.250452151368357,0.292783074855628,0.330143415522373
"74",10,0.521819110884006,0,0.55142798013245,0.488514072847682,0.614607970671712,0.860428571428571,0.944,0.509380084074909,0.555478161316653,0.604499021365704
"72",10,0.521819110884006,1,0.552179890894576,0.488490708298221,0.615529043036028,0.861942857142857,0.91,0.504457106383187,0.55081218419665,0.598438664588227
"73",10,0.521819110884006,2,0.549962300971304,0.486583580964208,0.613533212105084,0.853028571428571,0.872,0.4954654824718,0.54352985298911,0.590259714179312
"77",10,0.521819110884006,3,0.549745029931269,0.486261178035622,0.612962826103023,0.8526,0.904,0.501095303706766,0.550057940839233,0.600062915461612
"76",10,0.521819110884006,4,0.554499216370465,0.49043380548245,0.618061921518763,0.870742857142857,0.85,0.489479361893549,0.534878119957556,0.587548742410616
"75",10,0.521819110884006,5,0.554498117204048,0.489453400800188,0.619145681336785,0.869971428571429,0.852,0.49024556281326,0.537218526362755,0.583029967460492
"71",10,0.521819110884006,6,0.590151637716757,0.516847818093571,0.663190716418349,0.943214285714286,0.912,0.501861852661137,0.545362014083894,0.59844414636949
"79",11,0.812943801988233,0,0.83560125880945,0.766012144851735,0.904850553314717,1,1,0.610217084084433,0.67004892243959,0.733490693615384
"78",11,0.812943801988233,1,0.833887386788411,0.763795931031426,0.903639023092948,1,0.998,0.600350813656392,0.659361719857577,0.725452041288204
"81",11,0.812943801988233,2,0.823027939068895,0.751680628813735,0.894301375530045,0.999985714285714,0.998,0.589764443743408,0.657079988434408,0.719573664164181
"82",11,0.812943801988233,3,0.829277662042167,0.758609990691902,0.89978281104561,1,1,0.595615920263001,0.661175363088523,0.726402447737035
"80",11,0.812943801988233,4,0.839368822303976,0.769439888893814,0.908544243015233,1,1,0.587174374068412,0.651786652742208,0.712613202758296
"84",11,0.812943801988233,5,0.826068325551156,0.754565872687511,0.897718541284946,1,1,0.586564128263865,0.646647526332038,0.707382741039484
"83",11,0.812943801988233,6,0.800629404724968,0.725632729045698,0.875256711434186,0.999957142857143,1,0.594574947482285,0.659429023238697,0.727411641406524
"85",12,0.654747351263244,0,0.652820339877714,0.593569009252064,0.71193970762892,0.998685714285714,1,0.56740144193849,0.617780923176997,0.673038445103268
"89",12,0.654747351263244,1,0.652315452972402,0.592618118896091,0.711954130861953,0.9985,0.992,0.561866205363416,0.611686407369227,0.664430385784747
"91",12,0.654747351263244,2,0.649543948147931,0.589186731970555,0.709461242924598,0.998085714285714,0.99,0.552297231710852,0.604679343942426,0.65745068272284
"90",12,0.654747351263244,3,0.702556546084138,0.630089147572386,0.775642820305017,0.999085714285714,0.996,0.558036038693853,0.612906804060534,0.669454140800941
"88",12,0.654747351263244,4,0.712370146614603,0.639298607529654,0.785250128932439,0.999242857142857,0.994,0.548604717397134,0.598394758932982,0.656936152070644
"87",12,0.654747351263244,5,0.702026081190599,0.628497752891771,0.775451263537906,0.9989,0.996,0.549009578921607,0.600167924045502,0.652332681646446
"86",12,0.654747351263244,6,0.685507993811243,0.611404995211081,0.759272084284978,0.998057142857143,1,0.560819706915593,0.611415773000883,0.671223021395649
"97",13,0.828069462780542,0,0.850062818712586,0.783208927647624,0.916621092306555,1,1,0.620586719483949,0.68050594925303,0.744422598844775
"93",13,0.828069462780542,1,0.848067400783386,0.780311876431897,0.914980415342547,1,1,0.609458392382902,0.671873470153686,0.738395682331409
"98",13,0.828069462780542,2,0.837102066152346,0.768023410481511,0.906047707723685,1,0.998,0.601455374182783,0.669221314247359,0.729439220081204
"96",13,0.828069462780542,3,0.844180031039834,0.776010642228956,0.912127706747469,1,1,0.608909258092438,0.675634082661243,0.740821754114286
"95",13,0.828069462780542,4,0.854334491168428,0.787465819229917,0.921084916118543,1,1,0.599754041401616,0.661742588689817,0.724871536495239
"94",13,0.828069462780542,5,0.840383080606544,0.770905382637226,0.909343501522273,0.999985714285714,1,0.60012518428015,0.662781091089419,0.723230265785501
"92",13,0.828069462780542,6,0.814219200354741,0.741364274628631,0.88671938511566,1,1,0.609861917434651,0.673442731384659,0.744934364092871
"100",14,0.601055194805195,0,0.649804244797033,0.575549733596303,0.723999882252509,0.992585714285714,0.872,0.495661540796704,0.53997329168268,0.587162785611052
"101",14,0.601055194805195,1,0.651511583409379,0.577095169409202,0.725736657737482,0.9926,0.804,0.485473696501521,0.531223076914351,0.577581802145649
"104",14,0.601055194805195,2,0.645006034558888,0.570236378087192,0.719760972594272,0.990571428571429,0.758,0.479785710803401,0.525881274754098,0.566914975210446
"102",14,0.601055194805195,3,0.645109063613082,0.570251096523505,0.719731535721645,0.990357142857143,0.788,0.480559663554995,0.531145746449021,0.577878848151951
"99",14,0.601055194805195,4,0.652659621441818,0.577698625298048,0.727664772894528,0.992685714285714,0.718,0.476002197970307,0.514922768484493,0.569982647706499
"103",14,0.601055194805195,5,0.644358423361102,0.568661505401666,0.719496040740632,0.989128571428571,0.678,0.473337431923204,0.51633252687373,0.562659372210005
"105",14,0.601055194805195,6,0.630537811662889,0.554811456830826,0.706072826822878,0.983328571428571,0.804,0.486504219841534,0.529654409543398,0.576149764262512
"111",15,0.393720788457631,0,0.339520870076426,0.262624926513815,0.416078777189888,0.00635714285714286,0.006,0.365469820054859,0.408695051989119,0.455925468109125
"107",15,0.393720788457631,1,0.339305925065777,0.261931709611512,0.416209780547675,0.00635714285714286,0.002,0.355042350252175,0.402099625011778,0.443997725900781
"106",15,0.393720788457631,2,0.341378448694016,0.263798450751841,0.418443990416416,0.00664285714285714,0,0.341226343260234,0.385348131342965,0.437088925657912
"110",15,0.393720788457631,3,0.348183969544192,0.270412887863243,0.426013846221687,0.00914285714285714,0,0.337663632221245,0.385481694718622,0.430015997967324
"112",15,0.393720788457631,4,0.343039407346435,0.265106639424985,0.421133861508386,0.00757142857142857,0,0.327069716301238,0.37395585704691,0.419254424551798
"108",15,0.393720788457631,5,0.339256319811875,0.261008230452675,0.417577895355673,0.00687142857142857,0,0.325927278386959,0.371988762088137,0.419939940975182
"109",15,0.393720788457631,6,0.343533215755438,0.265417401528513,0.422060552616108,0.00782857142857143,0,0.333610575110277,0.375392492807292,0.424111828850641
"115",16,0.283066289663839,0,0.296476683937824,0.218341968911917,0.374359733530718,0.0015,0,0.304948211710869,0.352634091572472,0.398296332985422
"113",16,0.283066289663839,1,0.30269254111343,0.223692585520375,0.380996787897627,0.0017,0,0.292918572469037,0.342577337241675,0.38934902660248
"116",16,0.283066289663839,2,0.310303478904515,0.231280532938564,0.389178386380459,0.00245714285714286,0,0.282649427336253,0.326063315949961,0.379562069630924
"119",16,0.283066289663839,3,0.308867505551443,0.229252405625463,0.388290155440415,0.00244285714285714,0,0.27689914108344,0.326422345631746,0.369855229407592
"118",16,0.283066289663839,4,0.303802714744586,0.223455748479062,0.38379442544814,0.00208571428571429,0,0.26717179578244,0.315014006645575,0.363381991197536
"117",16,0.283066289663839,5,0.305031306896399,0.224847166096778,0.385052622230117,0.00221428571428571,0,0.264378762017295,0.311293242812573,0.365460581255433
